 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,70,469.337,62.077,0.991,1.057,0.947,0.909
2,60,364.988,71.908,0.936,1.281,0.780,0.896
3,99,408.781,75.892,1.000,1.186,0.843,0.947
4,82,213.434,90.061,0.968,1.003,0.997,0.911
5,78,296.709,106.320,0.969,1.080,0.926,0.912
6,74,48.152,115.816,0.855,2.000,0.500,0.925
7,75,245.865,120.752,1.000,1.182,0.846,0.938
8,84,413.274,123.340,0.992,1.118,0.895,0.913
9,101,320.239,128.935,0.521,3.713,0.269,0.745
10,87,348.927,133.942,1.000,1.022,0.978,0.951
11,83,135.905,154.266,0.995,1.108,0.903,0.933
12,98,197.716,166.050,0.659,2.490,0.402,0.883
13,98,56.446,189.763,0.590,3.083,0.324,0.807
14,80,139.274,191.054,0.959,1.232,0.812,0.930
15,61,204.040,194.545,0.935,1.210,0.826,0.865
16,64,228.189,201.332,1.000,1.030,0.971,0.921
17,71,204.589,210.752,0.916,1.460,0.685,0.899
18,99,210.402,225.799,0.509,3.959,0.253,0.818
19,80,487.193,228.802,0.994,1.040,0.961,0.920
20,89,81.899,232.399,0.640,2.428,0.412,0.852
21,77,342.252,260.895,0.957,1.056,0.947,0.901
22,73,174.340,261.380,0.994,1.086,0.921,0.930
23,87,142.194,296.009,0.991,1.084,0.922,0.921
24,96,309.807,348.669,0.899,1.607,0.622,0.923
25,67,321.177,363.981,0.948,1.251,0.799,0.899
26,115,302.842,368.136,0.928,1.599,0.625,0.931
27,126,343.357,368.656,0.959,1.139,0.878,0.933
28,78,142.699,395.972,1.000,1.043,0.959,0.918
29,81,313.050,398.315,1.000,1.060,0.944,0.926
30,64,274.464,399.202,0.921,1.482,0.675,0.934
31,69,260.931,407.261,0.890,1.507,0.664,0.902
32,145,185.390,414.489,0.380,5.787,0.173,0.716
33,118,479.915,429.526,0.512,4.093,0.244,0.825
34,88,141.312,439.292,0.968,1.189,0.841,0.921
35,94,28.179,445.079,1.000,1.034,0.967,0.935
36,80,8.746,452.094,0.994,1.080,0.926,0.920
37,91,465.732,451.801,0.647,2.815,0.355,0.843
38,75,118.208,454.956,0.932,1.091,0.916,0.898
39,96,159.824,454.628,0.973,1.249,0.801,0.928
40,70,140.469,454.878,0.953,1.354,0.738,0.909
41,54,31.092,465.510,0.857,1.820,0.549,0.915
42,83,23.830,495.940,0.995,1.070,0.935,0.938
