 ,Area,XM,YM,Circ.,AR,Round,Solidity,Time
1,145,442.976,17.536,0.618,3.103,0.322,0.879,0
2,169,428.704,31.967,0.505,3.814,0.262,0.82,0
3,138,218.961,44.58,0.607,3.105,0.322,0.836,0
4,236,385.571,52.933,0.432,4.953,0.202,0.827,0
5,152,18.51,46.664,0.548,3.525,0.284,0.804,0
6,138,409.022,45.391,0.651,2.69,0.372,0.807,0
7,189,467.364,56.804,0.476,4.452,0.225,0.791,0
8,158,255.432,63.709,0.57,3.478,0.287,0.812,0
9,236,169.472,82.99,0.438,4.925,0.203,0.808,0
10,202,151.772,92.809,0.49,4.257,0.235,0.781,0
11,143,53.507,112.218,0.594,3.513,0.285,0.824,0
12,237,16.583,129.741,0.393,5.659,0.177,0.738,0
13,151,425.882,125.226,0.587,2.934,0.341,0.81,0
14,138,203.826,182.164,0.609,2.79,0.358,0.8,0
15,104,221.217,180.926,0.887,1.625,0.615,0.941,0
16,168,67.373,188.435,0.534,3.718,0.269,0.814,0
17,66,193.503,199.087,0.432,3.278,0.305,0.776,0
18,188,245.218,203.864,0.507,3.933,0.254,0.809,0
19,181,220.081,197.904,0.598,3.156,0.317,0.848,0
20,171,214.75,214.597,0.551,3.363,0.297,0.784,0
21,176,265.668,214.558,0.509,3.808,0.263,0.775,0
22,123,124.098,219.657,0.764,2.397,0.417,0.939,0
23,160,86.853,230.601,0.569,3.569,0.28,0.827,0
24,264,246.751,234.532,0.405,5.341,0.187,0.805,0
25,216,321.854,273.346,0.464,4.969,0.201,0.815,0
26,215,116.324,354.944,0.425,4.844,0.206,0.753,0
27,142,301.099,354.058,0.69,2.438,0.41,0.858,0
28,193,85.015,381.053,0.476,4.631,0.216,0.809,0
29,209,495.758,396.544,0.468,4.28,0.234,0.774,0
30,149,209.855,404.441,0.611,3.042,0.329,0.847,0
31,162,18.906,411.925,0.558,3.384,0.296,0.775,0
32,168,304.009,419.255,0.558,3.713,0.269,0.806,0
33,180,415.835,422.725,0.475,4.313,0.232,0.786,0
34,216,148.58,436.25,0.399,5.462,0.183,0.791,0
35,227,240.012,439.213,0.425,5.444,0.184,0.781,0
36,170,480.355,442.113,0.592,3.572,0.28,0.829,0
37,256,83.577,446.755,0.347,6.341,0.158,0.769,0
38,208,183.057,460.089,0.427,5.125,0.195,0.811,0
39,212,132.834,468.952,0.414,5.039,0.198,0.775,0
40,246,214.299,457.447,0.375,5.516,0.181,0.764,0
41,227,49.232,464.846,0.428,4.974,0.201,0.79,0
42,149,18.575,474.243,0.606,2.974,0.336,0.812,0
